ENSG00000198888	hsa:4535	Oxidative_phosphorylation;Metabolic_pathways;Thermogenesis;Retrograde_endocannabinoid_signaling;Alzheimer_disease;Parkinson_disease;Amyotrophic_lateral_sclerosis;Huntington_disease;Prion_disease;Pathways_of_neurodegeneration_-_multiple_diseases;Chemical_carcinogenesis_-_reactive_oxygen_species;Diabetic_cardiomyopathy
ENSG00000198763	hsa:4536	Oxidative_phosphorylation;Metabolic_pathways;Thermogenesis;Retrograde_endocannabinoid_signaling;Alzheimer_disease;Parkinson_disease;Amyotrophic_lateral_sclerosis;Huntington_disease;Prion_disease;Pathways_of_neurodegeneration_-_multiple_diseases;Chemical_carcinogenesis_-_reactive_oxygen_species;Diabetic_cardiomyopathy
ENSG00000198804	hsa:4512	Oxidative_phosphorylation;Metabolic_pathways;Cardiac_muscle_contraction;Thermogenesis;Non-alcoholic_fatty_liver_disease;Alzheimer_disease;Parkinson_disease;Amyotrophic_lateral_sclerosis;Huntington_disease;Prion_disease;Pathways_of_neurodegeneration_-_multiple_diseases;Chemical_carcinogenesis_-_reactive_oxygen_species;Diabetic_cardiomyopathy
ENSG00000210151	hsa:113219467	NA
ENSG00000198712	hsa:4513	Oxidative_phosphorylation;Metabolic_pathways;Cardiac_muscle_contraction;Thermogenesis;Non-alcoholic_fatty_liver_disease;Alzheimer_disease;Parkinson_disease;Amyotrophic_lateral_sclerosis;Huntington_disease;Prion_disease;Pathways_of_neurodegeneration_-_multiple_diseases;Chemical_carcinogenesis_-_reactive_oxygen_species;Diabetic_cardiomyopathy
ENSG00000228253	hsa:4509	Oxidative_phosphorylation;Metabolic_pathways;Thermogenesis;Alzheimer_disease;Parkinson_disease;Amyotrophic_lateral_sclerosis;Huntington_disease;Prion_disease;Pathways_of_neurodegeneration_-_multiple_diseases;Chemical_carcinogenesis_-_reactive_oxygen_species;Diabetic_cardiomyopathy
ENSG00000198899	hsa:4508	Oxidative_phosphorylation;Metabolic_pathways;Thermogenesis;Alzheimer_disease;Parkinson_disease;Amyotrophic_lateral_sclerosis;Huntington_disease;Prion_disease;Pathways_of_neurodegeneration_-_multiple_diseases;Chemical_carcinogenesis_-_reactive_oxygen_species;Diabetic_cardiomyopathy
ENSG00000198938	hsa:4514	Oxidative_phosphorylation;Metabolic_pathways;Cardiac_muscle_contraction;Thermogenesis;Non-alcoholic_fatty_liver_disease;Alzheimer_disease;Parkinson_disease;Amyotrophic_lateral_sclerosis;Huntington_disease;Prion_disease;Pathways_of_neurodegeneration_-_multiple_diseases;Chemical_carcinogenesis_-_reactive_oxygen_species;Diabetic_cardiomyopathy
ENSG00000198840	hsa:4537	Oxidative_phosphorylation;Metabolic_pathways;Thermogenesis;Retrograde_endocannabinoid_signaling;Alzheimer_disease;Parkinson_disease;Amyotrophic_lateral_sclerosis;Huntington_disease;Prion_disease;Pathways_of_neurodegeneration_-_multiple_diseases;Chemical_carcinogenesis_-_reactive_oxygen_species;Diabetic_cardiomyopathy
ENSG00000212907	hsa:4539	Oxidative_phosphorylation;Metabolic_pathways;Thermogenesis;Retrograde_endocannabinoid_signaling;Alzheimer_disease;Parkinson_disease;Amyotrophic_lateral_sclerosis;Huntington_disease;Prion_disease;Pathways_of_neurodegeneration_-_multiple_diseases;Chemical_carcinogenesis_-_reactive_oxygen_species;Diabetic_cardiomyopathy
